File,Address,Hop,IP,Average Time
2024-04-25_02.txt,www5.usp.br,8,146.97.33.1,6.8
2024-04-25_02.txt,www5.usp.br,9,62.40.124.197,6.85
2024-04-25_02.txt,www5.usp.br,10,62.40.124.45,92.15
2024-04-25_02.txt,www5.usp.br,11,163.253.1.120,111.76
2024-04-25_02.txt,www5.usp.br,12,163.253.1.135,112.08
2024-04-25_02.txt,www5.usp.br,13,163.253.1.102,111.37
2024-04-25_02.txt,www5.usp.br,14,163.253.2.33,110.99
2024-04-25_02.txt,www5.usp.br,15,198.71.45.189,121.6
2024-04-25_02.txt,www5.usp.br,16,170.39.8.47,226.33
2024-04-25_02.txt,www5.usp.br,17,200.219.201.89,205.46
2024-04-25_02.txt,www5.usp.br,18,200.155.72.40,206.08
2024-04-25_02.txt,www5.usp.br,19,177.126.190.36,205.71
2024-04-25_02.txt,www5.usp.br,23,187.16.220.3,226.86
2024-04-25_02.txt,www5.usp.br,24,143.107.249.38,228.07
2024-04-25_09.txt,www.fmprc.gov.cn,1,139.222.0.1,1.99
2024-04-25_09.txt,www.fmprc.gov.cn,2,10.0.0.1,7.29
2024-04-25_09.txt,www.fmprc.gov.cn,3,193.62.92.126,1.14
2024-04-25_09.txt,www.fmprc.gov.cn,4,10.11.2.2,1.15
2024-04-25_09.txt,www.fmprc.gov.cn,5,146.97.130.237,5.54
2024-04-25_09.txt,www.fmprc.gov.cn,6,146.97.35.217,5.68
2024-04-25_09.txt,www.fmprc.gov.cn,7,146.97.33.61,6.73
2024-04-25_09.txt,www.fmprc.gov.cn,8,146.97.35.194,5.68
2024-04-25_09.txt,www.fmprc.gov.cn,11,62.115.120.239,6.26
2024-04-25_09.txt,www.fmprc.gov.cn,12,62.115.161.119,6.36
2024-04-25_09.txt,www.gov.za,1,139.222.0.1,1.07
2024-04-25_09.txt,www.gov.za,2,10.0.0.1,7.57
2024-04-25_09.txt,www.gov.za,3,193.62.92.126,0.66
2024-04-25_09.txt,www.gov.za,4,10.11.2.2,0.86
2024-04-25_09.txt,www.gov.za,5,146.97.130.237,5.46
2024-04-25_09.txt,www.gov.za,6,146.97.35.217,6.05
2024-04-25_09.txt,www.gov.za,7,146.97.33.61,8.78
2024-04-25_09.txt,www.gov.za,8,146.97.35.194,5.63
2024-04-25_09.txt,www.gov.za,9,62.115.175.106,5.43
2024-04-25_09.txt,www.gov.za,10,62.115.138.168,7.34
2024-04-25_09.txt,www.gov.za,11,62.115.122.181,6.24
2024-04-25_09.txt,www.gov.za,15,168.209.1.201,172.92
2024-04-25_09.txt,www.gov.za,16,168.209.129.146,172.96
2024-04-25_09.txt,www.gov.za,17,168.209.90.7,173.13
2024-04-25_09.txt,www.gov.za,18,168.209.131.135,173.13
2024-04-25_09.txt,www.gov.za,19,197.97.72.54,172.65
2024-04-25_09.txt,www.gov.scot,1,139.222.0.1,1.15
2024-04-25_09.txt,www.gov.scot,2,10.0.0.1,6.92
2024-04-25_09.txt,www.gov.scot,3,193.62.92.126,0.98
2024-04-25_09.txt,www.gov.scot,4,10.11.2.2,1.21
2024-04-25_09.txt,www.gov.scot,5,146.97.130.237,5.45
2024-04-25_09.txt,www.gov.scot,6,146.97.35.217,5.95
2024-04-25_09.txt,www.gov.scot,7,146.97.35.182,6.58
2024-04-25_09.txt,www.gov.scot,8,99.82.180.146,23.56
2024-04-25_09.txt,www.gov.scot,12,52.94.35.135,8.75
2024-04-25_09.txt,www.gov.scot,18,143.204.194.39,7.34
2024-04-25_09.txt,www5.usp.br,1,139.222.0.1,1.49
2024-04-25_09.txt,www5.usp.br,2,10.0.0.1,8.56
2024-04-25_09.txt,www5.usp.br,3,193.62.92.126,0.8
2024-04-25_09.txt,www5.usp.br,4,10.11.2.2,1.03
2024-04-25_09.txt,www5.usp.br,5,146.97.130.237,5.5
2024-04-25_09.txt,www5.usp.br,6,146.97.35.217,7.31
2024-04-25_09.txt,www5.usp.br,7,146.97.33.5,8.06
2024-04-25_09.txt,www5.usp.br,8,146.97.33.1,7.9
2024-04-25_09.txt,www5.usp.br,9,62.40.124.197,7.19
2024-04-25_09.txt,www5.usp.br,10,62.40.124.45,92.65
2024-04-25_09.txt,www5.usp.br,11,163.253.1.120,111.96
2024-04-25_09.txt,www5.usp.br,12,163.253.1.135,111.24
2024-04-25_09.txt,www5.usp.br,13,163.253.1.104,111.89
2024-04-25_09.txt,www5.usp.br,14,163.253.2.33,111.38
2024-04-25_09.txt,www5.usp.br,15,198.71.45.189,121.61
2024-04-25_09.txt,www5.usp.br,16,170.39.8.47,226.23
2024-04-25_09.txt,www5.usp.br,17,200.219.201.89,205.63
2024-04-25_09.txt,www5.usp.br,18,200.155.72.40,205.94
2024-04-25_09.txt,www5.usp.br,19,177.126.190.36,205.6
2024-04-25_09.txt,www5.usp.br,23,187.16.220.3,232.35
2024-04-25_09.txt,www5.usp.br,24,143.107.249.38,228.44
2024-04-25_17.txt,www.fmprc.gov.cn,1,139.222.0.1,1.42
2024-04-25_17.txt,www.fmprc.gov.cn,2,10.0.0.1,5.31
2024-04-25_17.txt,www.fmprc.gov.cn,3,193.62.92.126,0.85
2024-04-25_17.txt,www.fmprc.gov.cn,4,10.11.2.2,0.99
